Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-12,Sunday,2025-01-12,Overnight,Passenger Cars & Vans,75540,2.25,135972.0
2025-01-12,Sunday,2025-01-12,Overnight,Single-Unit Trucks,2052,3.6,5909.76
2025-01-12,Sunday,2025-01-12,Overnight,Multi-Unit Trucks,300,5.4,1296.0
2025-01-12,Sunday,2025-01-12,Overnight,Buses,1297,3.69,3828.74
2025-01-12,Sunday,2025-01-12,Overnight,Motorcycles,344,1.05,288.96
2025-01-12,Sunday,2025-01-12,Overnight,TLC Taxi/FHV,69698,1.13,63006.99
2025-01-12,Sunday,2025-01-12,Peak,Passenger Cars & Vans,166403,9.0,1198101.6
2025-01-12,Sunday,2025-01-12,Peak,Single-Unit Trucks,2696,14.4,31057.92
2025-01-12,Sunday,2025-01-12,Peak,Multi-Unit Trucks,263,21.6,4544.64
2025-01-12,Sunday,2025-01-12,Peak,Buses,2646,14.76,31243.97
2025-01-12,Sunday,2025-01-12,Peak,Motorcycles,1267,4.5,4561.2
2025-01-12,Sunday,2025-01-12,Peak,TLC Taxi/FHV,97633,1.13,88260.23
2025-01-13,Monday,2025-01-12,Overnight,Passenger Cars & Vans,38202,2.25,68763.6
2025-01-13,Monday,2025-01-12,Overnight,Single-Unit Trucks,2497,3.6,7191.36
2025-01-13,Monday,2025-01-12,Overnight,Multi-Unit Trucks,567,5.4,2449.44
2025-01-13,Monday,2025-01-12,Overnight,Buses,830,3.69,2450.16
2025-01-13,Monday,2025-01-12,Overnight,Motorcycles,241,1.05,202.44
2025-01-13,Monday,2025-01-12,Overnight,TLC Taxi/FHV,32547,1.13,29422.49
2025-01-13,Monday,2025-01-12,Peak,Passenger Cars & Vans,227262,9.0,1636286.4
2025-01-13,Monday,2025-01-12,Peak,Single-Unit Trucks,20805,14.4,239673.59
2025-01-13,Monday,2025-01-12,Peak,Multi-Unit Trucks,1861,21.6,32158.08
2025-01-13,Monday,2025-01-12,Peak,Buses,9795,14.76,115659.36
2025-01-13,Monday,2025-01-12,Peak,Motorcycles,1528,4.5,5500.8
2025-01-13,Monday,2025-01-12,Peak,TLC Taxi/FHV,124584,1.13,112623.94
2025-01-14,Tuesday,2025-01-12,Overnight,Passenger Cars & Vans,39657,2.25,71382.6
2025-01-14,Tuesday,2025-01-12,Overnight,Single-Unit Trucks,2712,3.6,7810.56
2025-01-14,Tuesday,2025-01-12,Overnight,Multi-Unit Trucks,636,5.4,2747.52
2025-01-14,Tuesday,2025-01-12,Overnight,Buses,933,3.69,2754.22
2025-01-14,Tuesday,2025-01-12,Overnight,Motorcycles,180,1.05,151.2
2025-01-14,Tuesday,2025-01-12,Overnight,TLC Taxi/FHV,37506,1.13,33905.42
2025-01-14,Tuesday,2025-01-12,Peak,Passenger Cars & Vans,234458,9.0,1688097.6
2025-01-14,Tuesday,2025-01-12,Peak,Single-Unit Trucks,21406,14.4,246597.11
2025-01-14,Tuesday,2025-01-12,Peak,Multi-Unit Trucks,1961,21.6,33886.08
2025-01-14,Tuesday,2025-01-12,Peak,Buses,9674,14.76,114230.59
2025-01-14,Tuesday,2025-01-12,Peak,Motorcycles,1459,4.5,5252.4
2025-01-14,Tuesday,2025-01-12,Peak,TLC Taxi/FHV,131357,1.13,118746.73
2025-01-15,Wednesday,2025-01-12,Overnight,Passenger Cars & Vans,41340,2.25,74412.0
2025-01-15,Wednesday,2025-01-12,Overnight,Single-Unit Trucks,2598,3.6,7482.24
2025-01-15,Wednesday,2025-01-12,Overnight,Multi-Unit Trucks,578,5.4,2496.96
2025-01-15,Wednesday,2025-01-12,Overnight,Buses,843,3.69,2488.54
2025-01-15,Wednesday,2025-01-12,Overnight,Motorcycles,217,1.05,182.28
2025-01-15,Wednesday,2025-01-12,Overnight,TLC Taxi/FHV,41748,1.13,37740.19
2025-01-15,Wednesday,2025-01-12,Peak,Passenger Cars & Vans,237603,9.0,1710741.6
2025-01-15,Wednesday,2025-01-12,Peak,Single-Unit Trucks,21242,14.4,244707.83
2025-01-15,Wednesday,2025-01-12,Peak,Multi-Unit Trucks,1980,21.6,34214.4
2025-01-15,Wednesday,2025-01-12,Peak,Buses,9746,14.76,115080.77
2025-01-15,Wednesday,2025-01-12,Peak,Motorcycles,1422,4.5,5119.2
2025-01-15,Wednesday,2025-01-12,Peak,TLC Taxi/FHV,138385,1.13,125100.04
2025-01-16,Thursday,2025-01-12,Overnight,Passenger Cars & Vans,42701,2.25,76861.8
2025-01-16,Thursday,2025-01-12,Overnight,Single-Unit Trucks,2710,3.6,7804.8
2025-01-16,Thursday,2025-01-12,Overnight,Multi-Unit Trucks,602,5.4,2600.64
2025-01-16,Thursday,2025-01-12,Overnight,Buses,823,3.69,2429.5
2025-01-16,Thursday,2025-01-12,Overnight,Motorcycles,209,1.05,175.56
2025-01-16,Thursday,2025-01-12,Overnight,TLC Taxi/FHV,47163,1.13,42635.35
2025-01-16,Thursday,2025-01-12,Peak,Passenger Cars & Vans,240228,9.0,1729641.6
2025-01-16,Thursday,2025-01-12,Peak,Single-Unit Trucks,21322,14.4,245629.43
2025-01-16,Thursday,2025-01-12,Peak,Multi-Unit Trucks,1977,21.6,34162.56
2025-01-16,Thursday,2025-01-12,Peak,Buses,9770,14.76,115364.16
