Date,Mode,Count
01/29/2025,LIRR,246641
01/29/2025,CRZ Entries,499106
01/29/2025,CBD Entries,563997
01/29/2025,Bus,1295961
01/29/2025,AAR,39355
01/28/2025,BT,870010
01/28/2025,Subway,4057100
01/28/2025,SIR,7596
01/28/2025,MNR,218807
01/28/2025,LIRR,260461
01/28/2025,CRZ Entries,488873
01/28/2025,CBD Entries,553196
01/28/2025,Bus,1479059
01/28/2025,AAR,39676
01/27/2025,BT,849105
01/27/2025,Subway,3612704
01/27/2025,SIR,6779
01/27/2025,MNR,200074
01/27/2025,LIRR,239834
01/27/2025,CRZ Entries,466339
01/27/2025,CBD Entries,529037
01/27/2025,Bus,1385882
01/27/2025,AAR,36731
01/26/2025,AAR,23439
01/26/2025,Subway,1882291
01/26/2025,SIR,1964
01/26/2025,MNR,82565
01/26/2025,LIRR,100305
01/26/2025,CRZ Entries,432114
01/26/2025,CBD Entries,493185
01/26/2025,Bus,689249
01/26/2025,BT,747615
01/25/2025,AAR,22654
01/25/2025,Subway,2486799
01/25/2025,SIR,2559
01/25/2025,MNR,103192
01/25/2025,LIRR,130818
01/25/2025,CRZ Entries,492430
01/25/2025,CBD Entries,550858
01/25/2025,Bus,868042
01/25/2025,BT,813003
01/24/2025,BT,901468
01/24/2025,Subway,3584146
01/24/2025,SIR,5802
01/24/2025,MNR,195169
01/24/2025,LIRR,234056
01/24/2025,CRZ Entries,510035
01/24/2025,CBD Entries,575097
01/24/2025,Bus,1318449
01/24/2025,AAR,37509
01/23/2025,AAR,38358
01/23/2025,Subway,3870712
01/23/2025,SIR,6992
01/23/2025,MNR,209534
01/23/2025,LIRR,242403
01/23/2025,CRZ Entries,517071
01/23/2025,CBD Entries,581917
01/23/2025,Bus,1361328
01/23/2025,BT,882330
01/22/2025,AAR,37701
01/22/2025,Subway,3745833
01/22/2025,SIR,6840
01/22/2025,MNR,209338
01/22/2025,LIRR,239508
01/22/2025,CRZ Entries,497885
01/22/2025,CBD Entries,559783
01/22/2025,Bus,1289449
01/22/2025,BT,841027
01/21/2025,BT,840267
01/21/2025,Subway,3624134
01/21/2025,SIR,6563
01/21/2025,MNR,212861
01/21/2025,LIRR,240724
01/21/2025,CRZ Entries,487514
01/21/2025,CBD Entries,549801
01/21/2025,Bus,1252532
01/21/2025,AAR,35218
01/20/2025,AAR,17801
01/20/2025,Subway,2216281
01/20/2025,SIR,2849
01/20/2025,MNR,78479
01/20/2025,LIRR,96444
01/20/2025,CRZ Entries,375578
01/20/2025,CBD Entries,428261
01/20/2025,Bus,797268
01/20/2025,BT,702634
01/19/2025,AAR,20610
01/19/2025,Subway,1828934
01/19/2025,SIR,1709
01/19/2025,MNR,75906
01/19/2025,LIRR,87352
01/19/2025,CRZ Entries,352685
01/19/2025,CBD Entries,399605
01/19/2025,Bus,586622
01/19/2025,BT,605719
01/18/2025,BT,827615
01/18/2025,Subway,2336087
01/18/2025,SIR,2244
01/18/2025,MNR,103091
01/18/2025,LIRR,122763
01/18/2025,CRZ Entries,464779
01/18/2025,CBD Entries,526827
01/18/2025,Bus,831369
01/18/2025,AAR,23229
01/17/2025,AAR,38857
01/17/2025,Subway,3604425
01/17/2025,SIR,6235
01/17/2025,MNR,197835
01/17/2025,LIRR,231166
01/17/2025,CRZ Entries,508467
01/17/2025,CBD Entries,574075
01/17/2025,Bus,1356698
01/17/2025,BT,931355
01/16/2025,AAR,39239
01/16/2025,Subway,3919882
01/16/2025,SIR,7319
01/16/2025,MNR,210063
01/16/2025,LIRR,244145
01/16/2025,CRZ Entries,513451
01/16/2025,CBD Entries,575820
01/16/2025,Bus,1394686
01/16/2025,BT,900431
01/15/2025,BT,872998
01/15/2025,Subway,3927198
01/15/2025,SIR,7739
01/15/2025,MNR,211912
01/15/2025,LIRR,237904
01/15/2025,CRZ Entries,497705
01/15/2025,CBD Entries,561732
01/15/2025,Bus,1391070
01/15/2025,AAR,40471
